sr,Name,Scientific Name,Description,Poisonous,Medicinal Uses,Found,Soil,Temperature,edible,,
11,coconut,Cocos nucifera,"Cocos nucifera is a large palm, growing up to 30 m (98 ft) tall, with pinnate leaves 4–6 m (13–20 ft) long, and pinnae 60–90 cm (2–3 ft) long; old leaves break away cleanly, leaving the trunk smooth. Coconuts are generally classified into two general types: tall and dwarf",NO,"Prevention of diabetes, cancer, heart disease and osteoporosis,natural treatment for cancer, Alzheimer’s, and arthritis","There are many coconut palms on the coasts of India, America, South Sadan, and Bangladesh",grow in sandy and loamy soils,Coconut Palm likes warm climate and cannot tolerate temperature below 20F without getting injured,YES,,
12,Neem,Azadirachta indica,"Neem is a fast-growing tree that can reach a height of 15–20 metres (49–66 ft), and rarely 35–40 metres (115–131 ft). It is evergreen, but in severe drought it may shed most of its leaves or nearly all leaves. The branches are wide and spreading. The fairly dense crown is roundish and may reach a diameter of 20–25 metres (66–82 ft). The neem tree is very similar in appearance to its relative, the Chinaberry",NO,"Neem leaf is used for leprosy, eye disorders, bloody nose, intestinal worms, stomach upset, loss of appetite, skin ulcers, diseases of the heart and blood vessels (cardiovascular disease), fever, diabetes, gum disease (gingivitis), and liver problems"," is native to the Indian subcontinent, i.e. India, Nepal, Pakistan, Bangladesh, Sri Lanka, and Maldives","Neem can grow in many different types of soil, but it thrives best on well drained deep and sandy soils",Above 4 °C (39 °F),YES,,
13,Tamarind,Tamarindus indica,"The tamarind is a long-lived, medium-growth tree, which attains a maximum crown height of 12 to 18 metres (39 to 59 ft). The crown has an irregular, vase-shaped outline of dense foliage. The tree grows well in full sun.",NO,"cures constipation, liver and gallbladder problems, and stomach disorders. It is also used to treat colds and fever","It is widely distributed throughout the tropical belt, from Africa to South Asia, northern Australia, and throughout Oceania, Southeast Asia, Taiwan and China. ","It prefers clay, loam, sandy, and acidic soil types, with a high resistance to drought and aerosol salt (wind-borne salt as found in coastal areas).","Young plants can't withstand the cold, while the adults are resistant to temperature till 28 degree Fahrenheit only.",YES,,
14,Babul,Vachellia nilotica,"Vachellia nilotica is a tree 5–20 m high with a dense spheric crown, stems and branches usually dark to black coloured, fissured bark, grey-pinkish slash, exuding a reddish low quality gum. The tree has thin, straight, light, grey spines in axillary pairs, usually in 3 to 12 pairs, 5 to 7.5 cm (3 in) long in young trees, mature trees commonly without thorns. The leaves are bipinnate, with 3–6 pairs of pinnulae and 10–30 pairs of leaflets each, tomentose, rachis with a gland at the bottom of the last pair of pinnulae",NO,"Babul bark finds its primary applications in oral & dental hygiene, burn injuries and in the management of skin diseases as recommended by Indian Ayurveda","Vachellia nilotica is native from Egypt, across the Maghreb and Sahel, south to Mozambique and KwaZulu-Natal, South Africa, and east through Arabian Peninsula to Indian Subcontinent subcontinent and Burma",Can be grown in any type of soil,15-28° C,YES,,
15,Pine,Pinus,"Pine trees are evergreen, coniferous resinous trees (or, rarely, shrubs) growing 3–80 m (10–260 ft) tall, with the majority of species reaching 15–45 m (50–150 ft) tall. The smallest are Siberian dwarf pine and Potosi pinyon, and the tallest is an 81.79 m (268.35 ft) tall ponderosa pine located in southern Oregon's Rogue River-Siskiyou National Forest.",NO,"Cures nerve pain, mild muscle pain, blood pressure problems, common cold","Pines are native to the Northern Hemisphere, and in a few parts of the tropics in the Southern Hemisphere. Most regions of the Northern Hemisphere host some native species of pines","Pines grow well in acid soils, some also on calcareous soils; most require good soil drainage, preferring sandy soils, but a few (e.g. lodgepole pine) can tolerate poorly drained wet soils","Needle-like leaves and cone-shaped forms allow some pine trees (Pinus spp.) to grow in very cold areas, but several species also grow well in warm climates",YES,,
17,Drosera,Drosera capensis,"Drosera, commonly known as the sundews, is one of the largest genera of carnivorous plants, with at least 194 species. These members of the family Droseraceae lure, capture, and digest insects using stalked mucilaginous glands covering their leaf surfaces. The insects are used to supplement the poor mineral nutrition of the soil in which the plants grow. Various species, which vary greatly in size and form, are native to every continent except Antarctica",NO,"People take sundew as a tea for various breathing problems including bronchitis, asthma, whooping cough (pertussis), windpipe infections (tracheitis), coughing fits, and dry cough. They also take it for stomach ulcers and cancer.","The range of the sundew genus stretches from Alaska in the north to New Zealand in the south. The centers of diversity are Australia, with roughly 50% of all known species, and South America and southern Africa, each with more than 20 species. A few species are also found in large parts of Eurasia and North America.","Sundews generally grow in seasonally moist or more rarely constantly wet habitats with acidic soils and high levels of sunlight. Common habitats include bogs, fens, swamps, marshes, the tepuis of Venezuela, the wallums of coastal Australia, the fynbos of South Africa, and moist streambanks",10°C to 35°C (50°F to 95°F) ,YES,,
19,Bamboo,Bambusoideae,"The bamboos are evergreen perennial flowering plants in the subfamily Bambusoideae of the grass family Poaceae.In bamboo, as in other grasses, the internodal regions of the stem are usually hollow and the vascular bundles in the cross-section are scattered throughout the stem instead of in a cylindrical arrangement. The dicotyledonous woody xylem is also absent. The absence of secondary growth wood causes the stems of monocots, including the palms and large bamboos, to be columnar rather than tapering",NO,"clears heat, resolves phlegm, anti-convulsive; used in convulsion, fever, or loss of consciousness associated with phlegm-heat; especially used in remedies for children's feverish disorders and epilepsy ","Most bamboo species are native to warm and moist tropical and warm temperate climates. However, many species are found in diverse climates, ranging from hot tropical regions to cool mountainous regions and highland cloud forests. In the Asia-Pacific region they occur across East Asia, from north to 50 °N latitude in Sakhalin, to south to northern Australia, and west to India and the Himalayas. China, Japan, Korea, India and Australia, all have several endemic populations. They also occur in small numbers in sub-Saharan Africa, confined to tropical areas, from southern Senegal in the north to southern Mozambique and Madagascar in the south","Bamboos thrive in moist, but well-drained soil in a sheltered, sunny spot. They tolerate most soil types, but some, such as Shibatea, require acid soil or ericaceous potting compost. Bamboo will grow in poor soils, but not in constant wet, boggy or extremely dry conditions.",minus 20 degrees Fahrenheit to 30 degrees Fahrenheit. ,NO,,
20,Tobacco,Nicotiana tabacum,"Tobacco is a product prepared from the leaves of the tobacco plant by curing them. The plant is part of the genus Nicotiana and of the Solanaceae (nightshade) family. While more than 70 species of tobacco are known, the chief commercial crop is N. tabacum. The more potent variant N. rustica is also used around the world. ",YES,"Chewing tobacco was sold in the form of loose leaf or plugs to be held in the cheeks. In Asian countries, tobacco was chewed mixed with betel nuts and lime. Chewing tobacco was recommended for toothache, gum diseases, aches in the throat, and mental depression","It is grown in northern middle Tennessee, central Kentucky, and Virginia"," tobacco needs thin, starved soil",20 °C to 30 °C,YES,,
22,Rosary Pea,Abrus precatorius,"Abrus precatorius, commonly known commonly as jequirity bean or rosary pea, is a herbaceous flowering plant in the bean family Fabaceae. It is a slender, perennial climber with long, pinnate-leafleted leaves that twines around trees, shrubs, and hedges.The plant is best known for its seeds, which are used as beads and in percussion instruments, and which are toxic because of the presence of abrin",YES,"The white variety is used to prepare oil that is claimed to be an aphrodisiac. A tea is made from the leaves and used for fevers, coughs and colds. Seeds are poisonous and therefore are used after mitigation.","Found in Belize, Caribbean Islands, Hawaii, Polynesia and parts of the mainland United States",Garden soil,Atleast 20°,NO,,
23,Castor Bean,Ricinus communis,"Ricinus communis can vary greatly in its growth habit and appearance. The variability has been increased by breeders who have selected a range of cultivars for leaf and flower colours, and for oil production. It is a fast-growing, suckering shrub that can reach the size of a small tree, around 12 m (39 ft), but it is not cold hardy. ",YES,"Castor oil has many uses in medicine and other applications.An alcoholic extract of the leaf was shown, in lab rats, to protect the liver from damage from certain poisons. Methanolic extracts of the leaves of Ricinus communis were used in antimicrobial testing against eight pathogenic bacteria in rats and showed antimicrobial properties. The pericarp of Ricinus showed central nervous system effects in mice at low doses."," Castor is indigenous to the southeastern Mediterranean Basin, Eastern Africa, and India, but is widespread throughout tropical regions ","Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers well-drained soil and can grow in heavy clay soil",Around 20°,NO,,
24,White Snakeroot,Ageratina altissima,"Ageratina altissima, also known as white snakeroot, richweed, or white sanicle, is a poisonous perennial herb in the family Asteraceae, native to eastern and central North America. An older binomial name for this species is Eupatorium rugosum, but the genus Eupatorium has undergone taxonomic revision by botanists, and a number of the species that were once included in it have been moved to other genera.Plants are upright or sometimes ascending, growing to 1.5 m tall, producing single or multi-stemmed clumps. They are found in woods and brush thickets where they bloom mid to late summer or fall.",YES,"The root is diaphoretic, diuretic, febrifuge, stimulant and tonic. It has been used in the treatment of diarrhoea, gravel and urinary diseases","Found in thickets. Ranges from Quebec to Georgia and west to Texas.
",The plants are shade-tolerant and do best in moist soils,Around 10°,NO,,
25,Deadly Nightshade,Atropa belladonna,"Atropa belladonna is a branching herbaceous perennial rhizomatous hemicryptophyte, often growing as a subshrub from a fleshy rootstock. Plants grow to 2 m (6.6 ft) tall with ovate leaves 18 cm (7.1 in) long. The bell-shaped flowers are dull purple with green tinges and faintly scented. The fruits are berries, which are green, ripening to a shiny-black, and approximately 1.5 cm (0.59 in) in diameter. ",YES,"Nightshade has been used in herbal medicine for centuries as a pain reliever, muscle relaxer, and anti-inflammatory, and to treat menstrual problems, peptic ulcer disease, histaminic reaction, and motion sickness","It is native to Europe, North Africa, and Western Asia. Its distribution extends from Great Britain in the west to western Ukraine and the Iranian province of Gilan in the east. It is also naturalised or introduced in some parts of Canada and the United States. ","Suitable for :  limestone-rich soils,calcareous soils",Around 20°,NO,,
